hour,open,high,low,close,volume
2018/07/07 10:00:00,468.83,469.57,465.93,466.5,2287.62361
2018/07/07 11:00:00,466.49,468.24,466.26,467.47,1012.67601
2018/07/07 12:00:00,467.3,467.94,465.33,467.66,1535.36745
2018/07/07 13:00:00,467.76,472.86,467.17,470.16,3261.1514899999997
2018/07/07 14:00:00,470.29,471.0,469.33,469.41,1560.00376
2018/07/07 15:00:00,469.45,469.95,467.08,467.89,2478.85417
2018/07/07 16:00:00,467.93,471.0,467.53,470.25,2478.91793
2018/07/07 17:00:00,470.25,471.0,468.92,469.13,1247.42141
2018/07/07 18:00:00,469.16,469.16,466.93,468.84,2598.3392
2018/07/07 19:00:00,468.84,471.0,467.05,470.32,1675.64797
2018/07/07 20:00:00,470.32,470.94,469.34,470.7,1965.9026
2018/07/07 21:00:00,470.69,472.4,467.0,468.11,3226.805
2018/07/07 22:00:00,468.24,468.5,461.5,464.88,5661.85731
2018/07/07 23:00:00,464.87,469.82,464.01,467.99,3173.937110000001
2018/07/08 00:00:00,467.99,468.25,465.5,467.6,2325.74039
2018/07/08 01:00:00,467.2,470.0,465.94,467.92,5143.3078
2018/07/08 02:00:00,467.8,467.97,465.2,465.64,4712.22913
2018/07/08 03:00:00,465.61,466.8,464.87,466.56,4895.1836299999995
2018/07/08 04:00:00,466.31,466.68,465.14,465.97,2917.027260000001
2018/07/08 05:00:00,465.93,466.03,463.56,464.43,3049.97799
2018/07/08 06:00:00,464.41,465.2,463.77,464.63,2234.55102
2018/07/08 07:00:00,464.54,468.61,463.68,468.43,3124.217910000001
2018/07/08 08:00:00,468.43,487.99,466.9,485.57,19600.6675
2018/07/08 09:00:00,485.57,492.89,484.76,486.48,13276.39589
2018/07/08 10:00:00,486.47,487.49,483.02,483.99,7674.620609999999
2018/07/08 11:00:00,483.99,485.59,483.02,485.12,7009.6330000000025
2018/07/08 12:00:00,485.37,486.0,482.22,482.64,5945.9314
2018/07/08 13:00:00,482.65,483.96,482.05,483.62,5389.5619799999995
2018/07/08 14:00:00,483.62,485.46,483.42,484.11,4451.0519
2018/07/08 15:00:00,484.11,485.63,484.01,484.9,4327.10204
2018/07/08 16:00:00,484.91,485.46,484.48,484.71,3572.96854
2018/07/08 17:00:00,484.71,485.54,484.19,485.18,4290.90225
2018/07/08 18:00:00,485.0,486.06,484.8,485.75,6999.3106099999995
2018/07/08 19:00:00,485.86,486.07,484.28,484.7,4264.63325
2018/07/08 20:00:00,484.7,486.5,484.32,486.03,3584.562670000001
2018/07/08 21:00:00,486.09,487.69,484.1,485.05,5499.04365
2018/07/08 22:00:00,485.05,490.08,484.22,487.64,6863.750209999997
2018/07/08 23:00:00,487.65,488.63,486.59,487.94,4693.46381
2018/07/09 00:00:00,487.66,495.98,487.66,490.17,11015.27363
2018/07/09 01:00:00,490.35,492.3,488.33,489.39,5488.98596
2018/07/09 02:00:00,489.27,491.0,489.02,490.74,4678.09885
2018/07/09 03:00:00,490.77,491.65,488.75,491.1,7158.85046
2018/07/09 04:00:00,490.92,492.26,490.68,491.51,2385.01699
2018/07/09 05:00:00,491.61,492.14,486.75,487.4,4651.77435
2018/07/09 06:00:00,487.68,490.88,487.02,489.98,7937.93249
2018/07/09 07:00:00,489.75,492.01,489.35,490.98,4447.97009
2018/07/09 08:00:00,491.23,491.31,485.55,486.77,9096.30163
2018/07/09 09:00:00,486.55,488.98,485.5,487.93,4918.83171
2018/07/09 10:00:00,487.92,488.49,483.27,483.68,5999.00314
2018/07/09 11:00:00,483.44,483.53,478.67,480.03,6183.66559
2018/07/09 12:00:00,480.03,483.7,479.5,482.77,2328.22163
2018/07/09 13:00:00,482.77,483.21,480.11,481.08,2398.69907
2018/07/09 14:00:00,481.07,481.99,479.54,480.5,2012.35604
2018/07/09 15:00:00,480.56,482.78,480.27,481.75,2734.81921
2018/07/09 16:00:00,481.58,485.59,481.02,483.64,2286.27981
2018/07/09 17:00:00,483.88,484.36,482.24,482.74,2294.81805
2018/07/09 18:00:00,482.75,483.0,478.67,480.72,4996.01509
